line,secDetail,orderDetail,node,distance,distancePreviousStop,name,latitude,longitude
2,10,1,4477,6762,237,GALILEO,40.435116691438,-3.7104396003592
2,10,1,4478,7013,251,VALLEHERMOSO-DONOSO CORTES,40.43599400693,-3.7084091345076
2,10,1,4479,7234,221,VALLEHERMOSO-CEA BERMUDEZ,40.437985857923,-3.7082649744208
2,10,1,180,7504,270,Vallehermoso-Islas Filipinas,40.440419628542,-3.7080417280904
2,10,1,181,7834,330,Estadio Vallehermoso,40.442488769285,-3.7099842432598
2,10,1,182,8081,247,Juan Vign,40.441338837288,-3.7123916799395
2,10,1,183,8377,296,General Ampudia,40.442331490429,-3.7150386899607
2,10,1,184,8541,164,Avenida del Valle,40.443547385058,-3.7150881281881
2,10,1,185,8851,310,Metro Guzmn el Bueno,40.445759951282,-3.7142165738602
2,10,1,186,9073,222,Reina Victoria,40.44581608885,-3.7124189048486
2,20,1,186,0,0,Reina Victoria,40.44581608885,-3.7124189048486
2,20,1,187,328,328,Guzmn el Bueno-San Francisco de Sales,40.442868694399,-3.7126601665106
2,20,1,188,475,147,Juan Vign,40.441543339136,-3.712830111171
2,20,1,189,790,315,Metro Islas Filipinas,40.43871334817,-3.7130242411546
2,20,1,190,1112,322,Guzmn el Bueno-Fernndez de los Ros,40.435811165457,-3.7132376369877
2,20,1,191,1369,257,Guzmn el Bueno-Melndez Valdes,40.433512720389,-3.7134279232057
2,20,1,192,1652,283,Arguelles,40.430961975674,-3.7136261408725
2,20,1,193,2056,404,Princesa-Rey Francisco,40.427893320099,-3.714536804435
2,20,1,173,2301,245,Ventura Rodrguez,40.425965045332,-3.7131371519278
2,20,1,171,2700,399,Gran Va-Plaza de Espaa,40.42295413872,-3.7105238031888
2,20,1,169,3036,336,Santo Domingo,40.42104500217,-3.7074625238401
2,20,1,167,3425,389,Gran Va-Callao,40.419971870357,-3.7032078252489
2,20,1,5138,3760,335,GRAN VIA-CHUECA,40.419517734673,-3.6993604361755
2,20,1,164,3962,202,Crculo de Bellas Artes,40.418864398586,-3.6971541811161
2,20,1,70,4292,330,Cibeles,40.419058253984,-3.6933819132413
2,20,1,162,4737,445,Puerta de Alcal,40.419602319265,-3.68826826599
2,20,1,174,4986,249,Alcal-Retiro,40.42042778365,-3.6858013110162
2,20,1,3686,5539,553,O DONNELL-RETIRO,40.421564105697,-3.6794958407048
2,20,1,157,5798,259,O Donnell-Narvez,40.421419718893,-3.6764649636503
2,20,1,2156,6161,363,NARVAEZ-IBIZA,40.418527949875,-3.6764477850259
2,20,1,2158,6417,256,SAINZ DE BARANDA-NARVAEZ,40.416784817753,-3.6756606461639
2,20,1,2160,6646,229,SAINZ DE BARANDA-MAIQUEZ,40.416629296716,-3.6729775915408
2,20,1,2162,6911,265,METRO SAINZ DE BARANDA,40.416404152854,-3.6698612836162
2,20,1,1257,7149,238,HOSPITAL GREGORIO MARAON,40.418237572981,-3.6690661586739
2,20,1,5822,7389,240,DOCTOR ESQUERDO-O DONNELL,40.420391807656,-3.6688765054423
2,20,1,151,7647,258,Casa de la Moneda,40.422671968322,-3.6687210940731
2,20,1,149,7891,244,Doctor Esquerdo-Goya,40.424799277966,-3.6685134703879
2,20,1,3811,8195,304,MANUEL BECERRA,40.427502096003,-3.6684895407653
3,10,1,1885,0,0,PUERTA DE TOLEDO TERMINAL,40.406371447241,-3.7115396726671
3,10,1,1884,172,172,PUERTA DE TOLEDO,40.407665096581,-3.7121307729721
3,10,1,1882,348,176,LA PALOMA,40.409000899219,-3.7131902237853
3,10,1,1880,571,223,SAN FRANCISCO EL GRANDE,40.410889505173,-3.7137204867177
3,10,1,1878,713,142,LAS VISTILLAS,40.412051510006,-3.7137445498308
3,10,1,1876,1009,296,PALACIO REAL,40.414702147315,-3.7134189645141
3,10,1,1886,1348,339,PLAZA DE LA VILLA,40.415560457514,-3.7100924206683
3,10,1,1887,1653,305,PLAZA MAYOR,40.416248291821,-3.706636711476
3,10,1,1888,1991,338,SOL,40.416695628073,-3.7027128487571
3,10,1,2004,2400,409,LAS CORTES,40.417046402879,-3.6983471055214
3,10,1,4108,2817,417,GRAN VIA-CHUECA,40.419928924155,-3.6998927687378
3,10,1,5376,3087,270,HORTALEZA,40.421178360313,-3.7003560040157
3,10,1,278,3382,295,Chueca,40.423521654162,-3.6987064117868
3,10,1,5639,3737,355,SANTA BARBARA,40.426290363997,-3.6967215897573
3,10,1,1865,3979,242,ALONSO MARTINEZ,40.42830549016,-3.6957026096674
3,10,1,4675,4263,284,SANTA ENGRACIA-CARACAS,40.430713767046,-3.69671772563
3,10,1,1868,4492,229,PLAZA CHAMBERI,40.432654097199,-3.6976455511265
3,10,1,1869,4718,226,IGLESIA,40.434595273617,-3.6984319602776
3,10,1,1870,4917,199,SANTA ENGRACIA-GARCIA DE PAREDES,40.436293432328,-3.6991805271379
3,10,1,1397,5288,371,BRETON DE LOS HERREROS,40.4394743902,-3.7005340502386
3,10,1,1398,5556,268,METRO RIOS ROSAS,40.441765723557,-3.7015129228723
3,10,1,1399,5829,273,SANTA ENGRACIA-MARIA GUZMAN,40.444101730498,-3.7025512861665
3,10,1,1420,6047,218,CUATRO CAMINOS,40.445961505556,-3.7033842936338
3,10,1,1568,6439,392,ALVARADO,40.449194917338,-3.703512344877
3,10,1,1569,6702,263,TERUEL,40.451548669932,-3.7031123474316
3,10,1,1860,6905,203,ESTRECHO,40.452687660483,-3.7024755993451
3,10,1,1861,7255,350,GENERAL PERON-COMANDANTE ZORITA,40.452352087511,-3.6983858169688
3,10,1,1855,7627,372,SAN AMARO,40.454963969052,-3.6970082550997
3,20,1,1855,0,0,SAN AMARO,40.454963969052,-3.6970082550997
3,20,1,1856,232,232,GENERAL CABRERA,40.456250212847,-3.6958492515155
3,20,1,1857,396,164,INFANTA MERCEDES,40.456761605312,-3.6976943621731
3,20,1,1858,846,450,BRAVO MURILLO-LOPE DE HARO,40.456589934682,-3.7022402676271
3,20,1,1859,1079,233,ESTRECHO,40.45456724253,-3.7030140851219
3,20,1,1570,1442,363,TERUEL,40.451320879153,-3.7035345159923
3,20,1,1600,1702,260,ALVARADO,40.448985428994,-3.7038875186469
3,20,1,1419,2109,407,CUATRO CAMINOS,40.445605680159,-3.7041199336111
3,20,1,1382,2355,246,BRAVO MURILLO-CRISTOBAL BORDIU,40.443397686333,-3.7042537191286
3,20,1,4496,2544,189,JUAN ZORRILLA,40.441695005465,-3.7042536357141
3,20,1,807,2934,390,CANAL,40.438509108995,-3.7037192878573
3,20,1,1862,3262,328,GLORIETA ALVAREZ DE CASTRO,40.436523144895,-3.7028968422552
3,20,1,1386,3505,243,ALVAREZ DE CASTRO-ELOY GONZALO,40.434438440091,-3.7020144693044
3,20,1,1388,3909,404,OLAVIDE,40.430997254602,-3.700493229674
3,20,1,284,4194,285,Plaza Chamber,40.432029389495,-3.6981578322317
3,20,1,1864,4724,530,ALONSO MARTINEZ,40.428276407334,-3.6960441861295
3,20,1,1228,5031,307,SAGASTA,40.428510575135,-3.6990409741432
3,20,1,1226,5381,350,BILBAO,40.429243545154,-3.7029625115834
3,20,1,3493,5556,175,CARRANZA,40.429609764325,-3.7049586764947
3,20,1,1772,5730,174,METRO SAN BERNARDO,40.429277765525,-3.7062166330779
3,20,1,1770,5994,264,SAN BERNARDO-DOS DE MAYO,40.427113098361,-3.7066301691164
3,20,1,1768,6239,245,NOVICIADO,40.425035700132,-3.7075043357149
3,20,1,1766,6525,286,SANTO DOMINGO,40.422475309605,-3.7078075675083
3,20,1,170,6840,315,Gran Va-Plaza de Espaa,40.422896075988,-3.7097098279899
3,20,1,854,7054,214,PLAZA DE ESPAA,40.422935920493,-3.7120206740389
3,20,1,1875,8044,990,PALACIO REAL,40.414835526782,-3.7137032487884
3,20,1,1877,8352,308,LAS VISTILLAS,40.41206821693,-3.7139568742854
3,20,1,1879,8589,237,SAN FRANCISCO EL GRANDE,40.409959898301,-3.7139935205841
3,20,1,1881,8722,133,LA PALOMA,40.408855580423,-3.7133807923223
3,20,1,1883,8922,200,PUERTA DE TOLEDO,40.407277156281,-3.7122209652475
3,20,1,1885,9057,135,PUERTA DE TOLEDO TERMINAL,40.406371447241,-3.7115396726671
4,10,1,1199,0,0,CIUDAD LINEAL,40.438156738528,-3.6387307165792
4,10,1,240,498,498,Vital Aza-Albasanz,40.434864962649,-3.6361010479589
4,10,1,242,793,295,Ascao-Julin Camarillo,40.432522564407,-3.6344755890243
4,10,1,244,1193,400,Metro Garca Noblejas,40.429391265454,-3.632135505488
4,10,1,246,1410,217,Castillo de Arvalo,40.427677343032,-3.630893427558
4,10,1,4708,1642,232,Garca Noblejas-Gandhi,40.425865006238,-3.6295231803248
4,10,1,250,1916,274,Garca Noblejas Centro Salud,40.423674833358,-3.628050472689
4,10,1,1200,2274,358,ARCOS DE JALON-POBLADURA DEL VALLE,40.422049409097,-3.6254302574419
4,10,1,1202,2658,384,ARCOS DE JALON-SAN ROMAN DEL VALLE,40.420536848423,-3.621915358782
4,10,1,1204,3043,385,ARCOS DE JALON-AMPOSTA,40.422664186159,-3.6183278590798
4,10,1,1206,3322,279,ARCOS DE JALON-ALBERICIA,40.424344161981,-3.6158323613435
4,10,1,5650,3716,394,ARCOS DE JALON-AV.CANILLEJAS VICALVARO,40.427071722505,-3.6128464172731
4,10,1,4195,4209,493,AV.CANILLEJAS A VICALVARO-RUSIA,40.423843757928,-3.611666601749
4,10,1,4197,4462,253,AV.CANILLEJAS A VICALVARO-AQUITANIA,40.421565412462,-3.6114927245405
4,10,1,1210,4700,238,AV.CANILLEJAS A VICALVARO-TOSCANA,40.419440896217,-3.6111905919394
4,10,1,4612,5016,316,AV.CANILLEJAS A VICALVARO-M40,40.416785248512,-3.6108129540823
4,10,1,3758,5940,924,PZA.DE LA VICALVARADA,40.409284122704,-3.6101794233808
4,10,1,1213,6082,142,P ARTILLEROS-CALAHORRA,40.408124320533,-3.6097328907059
4,10,1,1076,6260,178,CALAHORRA N 12,40.407765277907,-3.6111898472725
4,10,1,1066,6596,336,AV.DAROCA-CALAHORRA,40.406223586497,-3.6131098223177
4,10,1,1067,6908,312,AV.DAROCA N 338,40.404337123052,-3.6103822270431
4,10,1,4546,7079,171,SAN CIPRIANO-P ARTILLEROS,40.404049840833,-3.6084823053512
4,10,1,4552,7411,332,SAN CIPRIANO-JARDIN DE LA DUQUESA,40.403872175344,-3.604568215797
4,10,1,4555,7627,216,SAN CIPRIANO-CAOS DE SAN PEDRO,40.403777292257,-3.6020336795845
4,10,1,5321,7874,247,SAN CIPRIANO-MINERVA,40.403269107677,-3.599273934863
4,10,1,1073,8319,445,PUERTA ARGANDA,40.401222298044,-3.5961306275524
4,20,1,1073,0,0,PUERTA ARGANDA,40.401222298044,-3.5961306275524
4,20,1,5322,372,372,SAN CIPRIANO-MINERVA,40.403431768877,-3.5991775658002
4,20,1,4556,635,263,SAN CIPRIANO-CAOS DE SAN PEDRO,40.404019603065,-3.6022126079823
4,20,1,1069,845,210,SAN CIPRIANO-JARDIN DE LA DUQUESA,40.404132869069,-3.6046766101275
4,20,1,1074,1169,324,SAN CIPRIANO-P ARTILLEROS,40.404319973482,-3.6085083072843
4,20,1,4647,1364,195,AV.DAROCA-P ARTILLEROS,40.404606819689,-3.6104907258966
4,20,1,4549,1676,312,AV.DAROCA-CALAHORRA,40.406565848713,-3.613124713174
4,20,1,1065,1859,183,AV.DAROCA-CASALARREINA,40.407728824998,-3.6146673530288
4,20,1,1214,2044,185,CASALARREINA-AV.DAROCA,40.408652078746,-3.6138507720456
4,20,1,1215,2338,294,CASALARREINA-P ARTILLEROS,40.409308286102,-3.6107217771209
4,20,1,4613,3413,1075,AV.CANILLEJAS A VICALVARO-M40,40.416849304391,-3.6106249434555
4,20,1,1211,3734,321,AV.CANILLEJAS A VICALVARO-TOSCANA,40.419532538894,-3.6108967378507
4,20,1,4611,3971,237,AV.CANILLEJAS A VICALVARO-SUECIA,40.421657180564,-3.6111752873721
4,20,1,4196,4221,250,AV.CANILLEJAS A VICALVARO-RUSIA,40.42390837632,-3.6113724845421
4,20,1,4192,4785,564,ARCOS DE JALON-AV.CANILLEJAS VICALVARO,40.427188120715,-3.6129818647107
4,20,1,1207,5177,392,ARCOS DE JALON-ALBERICIA,40.42452332742,-3.61602260673
4,20,1,1205,5475,298,ARCOS DE JALON-AMPOSTA,40.422734740873,-3.6186114146082
4,20,1,1203,5834,359,ARCOS DE JALON-SAN ROMAN DEL VALLE,40.420770752578,-3.6219764506193
4,20,1,1201,6218,384,ARCOS DE JALON-POBLADURA DEL VALLE,40.422141342801,-3.6250892630389
4,20,1,252,6570,352,Garca Noblejas-Centro de Salud,40.423893725608,-3.6275574087017
4,20,1,248,6893,323,Garca Noblejas-Gandhi,40.426378438593,-3.6295373982624
4,20,1,247,7102,209,Castillo de Arvalo,40.428020501512,-3.6307433796682
4,20,1,245,7275,173,Metro Garca Noblejas,40.4294301344,-3.6316171508418
4,20,1,243,7661,386,Ascao-Julin Camarillo,40.432472199645,-3.6338031090357
4,20,1,241,7989,328,Vital Aza-Albasanz,40.435028995699,-3.6357606827963
4,20,1,239,8286,297,Ciudad Lineal,40.437380187495,-3.6374217021624
4,20,1,1199,8456,170,CIUDAD LINEAL,40.438156738528,-3.6387307165792
5,10,1,5907,0,0,SOL-SEVILLA,40.417910373711,-3.6984939471753
5,10,1,2002,111,111,METRO SEVILLA,40.418212766866,-3.6976495839538
5,10,1,90,250,139,Crculo de Bellas Artes,40.418573542308,-3.6960856213591
5,10,1,72,688,438,Cibeles,40.420263812809,-3.6921518954624
5,10,1,65,1103,415,Biblioteca Nacional,40.423787005419,-3.6905282512026
5,10,1,66,1358,255,Coln,40.426034088731,-3.6898816486698
5,10,1,62,1734,376,Castellana-Ministerio Interior,40.429164972366,-3.6890789811533
5,10,1,60,2180,446,Castellana-Rubn Dario,40.43315284451,-3.6880833757818
5,10,1,530,2592,412,EMIILIO CASTELAR,40.43529436877,-3.6900305239606
5,10,1,1893,2811,219,MUSEO SOROLLA,40.435251889534,-3.6926144693268
5,10,1,528,3036,225,MARTINEZ CAMPOS,40.435199932988,-3.6952666958452
5,10,1,1895,3246,210,IGLESIA-ALONSO CANO,40.435113020881,-3.6977299161764
5,10,1,1896,3701,455,ALONSO CANO,40.438725794076,-3.6976965219529
5,10,1,1898,4006,305,ALONSO CANO-RIOS ROSAS,40.441474903047,-3.6974655395352
5,10,1,1900,4312,306,ALONSO CANO-MARIA DE GUZMAN,40.444223868176,-3.697258121656
5,10,1,1902,4522,210,ALONSO CANO-FERNANDEZ VILLAVERDE,40.446107747578,-3.6970889187647
5,10,1,3380,4696,174,HERNANI,40.447675964988,-3.6969777659665
5,10,1,1904,4836,140,BASILICA,40.448929203223,-3.6968114681727
5,10,1,1906,5174,338,GENERAL MOSCARDO,40.451975872226,-3.6965351422598
5,10,1,1909,5523,349,GENERAL VARELA-GENERAL ORGAZ,40.454334279371,-3.6953577499932
5,10,1,1910,5706,183,GENERAL VARELA-GENERAL YAGUE,40.45597485781,-3.6951977586028
5,10,1,1912,5987,281,GENERAL YAGUE-CAPITAN HAYA,40.456179869017,-3.6925616187953
5,10,1,4828,6228,241,CASTELLANA-GENERAL YAGE,40.45593436855,-3.6899267511662
5,10,1,35,6655,427,Cuzco,40.459800355582,-3.6897292347616
5,10,1,33,6873,218,Castellana-Rosario Pino,40.461756393088,-3.6895428344984
5,10,1,29,7239,366,Juzgados Plaza de Castilla,40.465028635893,-3.6892035678599
5,10,1,30,7431,192,Plaza Castilla,40.466143046971,-3.688142752613
5,10,1,1914,7782,351,ENRIQUE LARRETA,40.468206882105,-3.6864923509655
5,10,1,1915,8013,231,AGUSTIN DE FOXA,40.469869124622,-3.6857153997841
5,10,1,1917,8562,549,CHAMARTIN,40.471708707819,-3.682370950127
5,20,1,1917,0,0,CHAMARTIN,40.471708707819,-3.682370950127
5,20,1,1916,377,377,AGUSTIN DE FOXA,40.470130155839,-3.6857534434239
5,20,1,4194,627,250,ENRIQUE LARRETA,40.468276650127,-3.6868799645918
5,20,1,31,1002,375,Plaza Castilla,40.466367131184,-3.688333767646
5,20,1,28,1328,326,Juzgados Plaza Castilla,40.464962404622,-3.6897348565481
5,20,1,32,1682,354,Castellana-Rosario Pino,40.461780687221,-3.6900007169473
5,20,1,34,2078,396,Cuzco,40.458229246005,-3.690326458192
5,20,1,36,2268,190,Castellana-General Yague,40.456516557986,-3.6904940900788
5,20,1,1913,2484,216,GENERAL YAGUE-CAPITAN HAYA,40.456377034534,-3.6927334733076
5,20,1,1911,2681,197,ORENSE-GENERAL YAGUE,40.456112450168,-3.694788756142
5,20,1,1908,2970,289,PALACIO DE CONGRESOS,40.453516153288,-3.6950780713514
5,20,1,1907,3135,165,ORENSE-GENERAL.PERON,40.452028857738,-3.695216054529
5,20,1,1905,3388,253,BASILICA,40.449757340535,-3.6954284968051
5,20,1,1903,3678,290,NUEVOS MINISTERIOS,40.447188540104,-3.6956390398567
5,20,1,1901,4007,329,MODESTO LAFUENTE-MARIA DE GUZMAN,40.444231897144,-3.695925751547
5,20,1,1899,4317,310,MODESTO LAFUENTE-RIOS ROSAS,40.441446900596,-3.6961328520415
5,20,1,1897,4632,315,MODESTO LAFUENTE-JOSE ABASCAL,40.438616505652,-3.696398421865
5,20,1,527,5077,445,MARTINEZ CAMPOS,40.434924858168,-3.6960655819726
5,20,1,1894,5369,292,MUSEO SOROLLA,40.435026609967,-3.692623947634
5,20,1,57,5671,302,Emilio Castelar,40.434920525794,-3.689270963356
5,20,1,59,5897,226,Castellana-Rubn Daro,40.432923247392,-3.6888178883276
5,20,1,61,6335,438,Castellana-Ministerio Interior,40.429079559378,-3.6898054891506
5,20,1,63,6706,371,Coln,40.425813390387,-3.6906326727298
5,20,1,5626,6931,225,Biblioteca Nacional,40.424045558027,-3.6909812005776
5,20,1,68,7077,146,Recoletos,40.422799068204,-3.6915260119331
5,20,1,73,7392,315,Cibeles,40.420142736182,-3.6928131071937
5,20,1,5841,8026,634,METRO SEVILLA,40.417886635033,-3.6994401991811
5,20,1,5907,8517,491,SOL-SEVILLA,40.417910373711,-3.6984939471753
6,10,1,1918,0,0,BENAVENTE,40.414311031674,-3.7037382076191
6,10,1,1919,304,304,TIRSO DE MOLINA,40.412449780441,-3.7046263439593
6,10,1,1921,803,499,ANTON MARTIN,40.412124495699,-3.6988478055597
6,10,1,1922,1009,206,DESAMPARADOS,40.411100695186,-3.6968218365884
6,10,1,1924,1361,352,ATOCHA,40.409437309177,-3.6932808014987
6,10,1,1167,1658,297,REINA SOFIA,40.40750792192,-3.6935261702295
6,10,1,1926,2188,530,PALOS DE LA FRONTERA,40.40361244795,-3.6971217143167
6,10,1,1927,2470,282,SANTA MARIA DE LA CABEZA,40.401519954445,-3.6990138756895
6,10,1,1928,2674,204,SANTA MARIA DE LA CABEZA,40.400213245111,-3.6990816686864
6,10,1,1931,2973,299,JAIME EL CONQUISTADOR-EMBAJADORES,40.397768583916,-3.6981254842649
6,10,1,1933,3197,224,DIVINO VALLES,40.39575766711,-3.6984428902298
6,10,1,1122,3485,288,CASA DEL RELOJ,40.393280852616,-3.6983348187528
6,10,1,1124,3756,271,MATADERO,40.391610273175,-3.6959964211597
6,10,1,1935,4334,578,GLORIETA DE CADIZ,40.388073595278,-3.6998362299584
6,10,1,1938,4682,348,SAN ANTONIO DE PADUA,40.385875199375,-3.7013568429794
6,10,1,1939,4784,102,SANTUARIO,40.385177256013,-3.7005720367969
6,10,1,1941,5033,249,EVANGELIOS,40.383306786025,-3.7000107323036
6,10,1,1943,5360,327,DOLORES BARRANCO,40.383536355123,-3.7037476940421
6,10,1,1945,5622,262,PLAZA DEL HIDROGENO,40.383292391803,-3.7068199913332
6,10,1,1947,6054,432,JUNTA MUNICIPAL USERA,40.382318480557,-3.7113807660857
6,10,1,1949,6291,237,RAFAELA YBARRA,40.380191699764,-3.7114879787015
6,10,1,1951,6513,222,RAFAELA YBARRA-PARQUE DE LA PALOMA,40.378242207703,-3.7120647208445
6,10,1,1953,6795,282,RAFAELA YBARRA-PRADOLONGO,40.375726372797,-3.7124422770733
6,10,1,1955,7018,223,RAFAELA YBARRA-POLIDEPORTIVO,40.373834533473,-3.7124341304502
6,10,1,1957,7221,203,CESTONA,40.372086465386,-3.71248639432
6,10,1,1958,7445,224,UNIDAD,40.370068601336,-3.7124616088927
6,10,1,1959,7606,161,ALZOLA,40.368609135457,-3.7124627292389
6,10,1,292,7808,202,Rafaela Ybarra-Centro Comecial,40.366798492993,-3.7124354180516
6,10,1,315,8034,226,Ganza,40.365778027423,-3.7142926525989
6,10,1,332,8240,206,Guetaria-Ordicia,40.366464687054,-3.7154305941181
6,10,1,5359,8511,271,ORCASITAS,40.368833755348,-3.7154792025677
6,20,1,5359,0,0,ORCASITAS,40.368833755348,-3.7154792025677
6,20,1,1961,286,286,GUETARIA-LESACA,40.371410344047,-3.7154770055214
6,20,1,1962,466,180,GUETARIA-TOLOSA,40.373031821615,-3.7155000451062
6,20,1,1963,760,294,AVENIDA DE LOS POBLADOS-RAFAELA YBARRA,40.373459815456,-3.7133018495454
6,20,1,4814,952,192,RAFAELA YBARRA-POLIDEPORTIVO,40.373844811587,-3.7122281003696
6,20,1,4815,1206,254,RAFAELA YBARRA-PRADOLONGO,40.37598129255,-3.7120091130805
