line,secDetail,orderDetail,node,distance,distancePreviousStop,latitude,longitude
1,19,1,14749,32,0,40.437871915535,-3.7179732570618
1,19,1,10121,57,0,40.437727650867,-3.7179929451923
1,19,1,10120,72,0,40.436627378053,-3.7181840330906
1,19,1,10165,195,0,40.435554268884,-3.718353002955
1,19,1,10164,315,0,40.435500087175,-3.7183736484512
1,19,1,17015,322,0,40.435094376346,-3.718423564448
1,19,1,17017,367,0,40.43494110324,-3.7184431550061
1,19,1,17016,384,0,40.434778814493,-3.7184638285104
1,19,1,11339,402,0,40.434688855971,-3.7184428280544
1,19,1,11337,413,0,40.434267296765,-3.7181435942524
1,19,1,17019,466,0,40.43390855331,-3.7178839386276
1,19,1,17018,511,0,40.433657360058,-3.7177138524399
1,19,1,6316,543,0,40.433226549065,-3.7174534354945
1,19,1,1533,596,0,40.432979518498,-3.7180638714226
1,19,1,1572,655,0,40.432324788528,-3.7175935780906
1,19,1,1593,737,0,40.431912300962,-3.717283846166
1,19,1,1609,791,0,40.431670114994,-3.717113863035
1,19,1,11334,821,0,40.431535604488,-3.7170134032002
1,19,1,11333,838,0,40.430620783006,-3.7163540996982
1,19,1,10052,954,0,40.429912119706,-3.7158632262811
1,19,1,10054,1043,0,40.429705220309,-3.715813876028
1,19,1,10335,1066,0,40.429498882842,-3.7156737564499
1,19,1,11235,1092,0,40.429059488757,-3.7153437231141
1,19,1,14755,1149,0,40.428978778551,-3.7152839231713
1,19,1,14753,1159,0,40.428961440164,-3.7151741022846
1,19,1,11232,1168,0,40.42889862984,-3.7151333545323
1,19,1,11231,1176,0,40.42826196195,-3.7146538787352
1,19,1,1831,1258,0,40.427956961216,-3.7144431678336
1,19,1,1854,1296,0,40.427714770734,-3.7142732049999
1,19,1,7486,1326,0,40.427445737031,-3.7140734877748
1,19,1,7485,1360,0,40.427095991933,-3.7138139756562
1,19,1,17029,1405,0,40.426782104908,-3.7135831377777
1,19,1,17028,1445,0,40.426387440616,-3.7133031157785
1,19,1,1950,1495,0,40.425938965507,-3.7129836270386
1,19,1,1989,1552,0,40.425364924986,-3.7125732260332
1,19,1,17034,1624,0,40.424737319351,-3.7120832861113
1,19,1,17033,1705,0,40.424378626429,-3.7118130912426
1,19,1,15882,1751,0,40.423787173992,-3.7113035068487
1,19,1,15881,1830,0,40.423357021316,-3.7109335485894
1,19,1,2167,1887,0,40.422919829142,-3.7102428903514
1,19,1,7638,1963,0,40.422304100471,-3.7092839611406
1,19,1,2218,2069,0,40.421518858451,-3.7080533342635
1,19,1,16972,2205,0,40.421367232205,-3.7078042043834
1,19,1,16971,2232,0,40.421037025121,-3.7072938781027
1,19,1,7630,2289,0,40.420840723053,-3.7069841675548
1,19,1,2244,2323,0,40.420591104829,-3.7065536685249
1,19,1,2249,2369,0,40.420305811481,-3.7060638624743
1,19,1,2250,2422,0,40.42029729259,-3.7059836188448
1,19,1,2252,2429,0,40.420280556857,-3.7057736275854
1,19,1,2253,2446,0,40.42027270681,-3.7055837678985
1,19,1,2256,2463,0,40.420222740635,-3.7049137202239
1,19,1,2260,2520,0,40.420156031668,-3.704033682999
1,19,1,2261,2595,0,40.420131991462,-3.7035430762178
1,19,1,2263,2636,0,40.420089681573,-3.7030935354809
1,19,1,2264,2675,0,40.420048222303,-3.7025037341683
1,19,1,2266,2725,0,40.420040001695,-3.7023739873401
1,19,1,17362,2736,0,40.420032639984,-3.7021028007828
1,19,1,17361,2759,0,40.419998846387,-3.7017335042912
1,19,1,7137,2791,0,40.419998846387,-3.7017335042912
1,19,1,2270,2828,0,40.419731567698,-3.6997539902552
1,19,1,2282,2962,0,40.419298837811,-3.6983138177407
1,19,1,2287,3093,0,40.419069735742,-3.6974639473542
1,19,1,7121,3170,0,40.418954553398,-3.6971433245654
1,19,1,7538,3200,0,40.41886567061,-3.6969432035579
1,19,1,14698,3219,0,40.418830177072,-3.6968532546834
1,19,1,14697,3228,0,40.418741833508,-3.696563557513
1,19,1,7537,3255,0,40.418741833508,-3.696563557513
1,19,1,16773,3291,0,40.418852347773,-3.6961639329958
1,19,1,16774,3309,0,40.41889860311,-3.6959628487607
1,19,1,2293,3337,0,40.418972592486,-3.6956441778864
1,19,1,2289,3365,0,40.419028578412,-3.6953229635077
1,19,1,7309,3452,0,40.419091763132,-3.6938030613989
1,19,1,17089,3498,0,40.419076744337,-3.6933031286569
1,19,1,17088,3540,0,40.419076744337,-3.6933031286569
1,19,1,7251,3571,0,40.419078899556,-3.6929436403239
1,19,1,8943,3592,0,40.419152351017,-3.6927133640523
1,19,1,11385,3658,0,40.419516364071,-3.6921029792482
1,19,1,11386,3666,0,40.419525972166,-3.6920028856083
1,19,1,2281,3705,0,40.419600733344,-3.6915533760557
1,19,1,2275,3756,0,40.419685339529,-3.6909636969665
1,19,1,7444,3783,0,40.419714216937,-3.6906539853832
1,19,1,11565,3862,0,40.419678845303,-3.6890328651924
1,19,1,15884,3924,0,40.419625202384,-3.6889639513966
1,19,1,14494,3933,0,40.419625202384,-3.6889639513966
1,19,1,16451,3962,0,40.419627231809,-3.6886233183908
1,19,1,7430,3990,0,40.419808719237,-3.6884035666654
1,19,1,7429,4071,0,40.420218761305,-3.687623882465
1,19,1,19499,4093,0,40.420265296199,-3.6873732838737
1,19,1,19500,4142,0,40.42038567664,-3.6868240348482
1,19,1,14740,4190,0,40.420506061482,-3.686273605154
1,19,1,17023,4198,0,40.42052645644,-3.6858730379694
1,19,1,17024,4225,0,40.42052645644,-3.6858730379694
1,19,1,16766,4265,0,40.42061927356,-3.6854130894049
1,19,1,6218,4301,0,40.420720741092,-3.6850133436518
1,19,1,14745,4349,0,40.421002382123,-3.6846142445117
1,19,1,2219,4419,0,40.421624477795,-3.6845333225467
1,19,1,2194,4498,0,40.422336594479,-3.6844639206416
1,19,1,2170,4578,0,40.423057663613,-3.6844040384559
1,19,1,2131,4658,0,40.423778676818,-3.6843535849747
1,19,1,2022,4815,0,40.425184780992,-3.6842334497921
1,19,1,1936,4941,0,40.426320500598,-3.6841329685131
1,19,1,1860,5095,0,40.427708580258,-3.6840138212197
1,19,1,1781,5251,0,40.429105619071,-3.6839030124744
1,19,1,1692,5383,0,40.430231290029,-3.682453736823
1,19,1,1698,5498,0,40.43016659283,-3.6812034309142
1,19,1,1702,5604,0,40.43011760319,-3.6803435067787
1,19,1,1737,5677,0,40.429714965064,-3.6798737800012
1,19,1,1738,5746,0,40.429714965064,-3.6798737800012
1,19,1,1710,5815,0,40.430021368902,-3.6783230565347
1,19,1,1716,5901,0,40.429939597347,-3.676904002487
1,19,1,1721,6022,0,40.429858345571,-3.6753930018977
1,19,1,19666,6150,0,40.429818492994,-3.6745037042611
1,19,1,19665,6226,0,40.429786597755,-3.6737936814504
1,19,1,19670,6286,0,40.429771554852,-3.6732830631566
1,19,1,19669,6329,0,40.429732330476,-3.6722829565976
1,19,1,1749,6414,0,40.429660484869,-3.6706930725752
1,19,1,1748,6549,0,40.429660484869,-3.6706930725752
1,19,1,8229,6573,0,40.429734063275,-3.6704332645071
1,19,1,15101,6597,0,40.42985251229,-3.6702033741043
1,19,1,15102,6624,0,40.43004960363,-3.6703939571988
1,19,1,15103,6641,0,40.430175153885,-3.6704930541261
1,19,1,17221,6666,0,40.430372422534,-3.670652988807
1,19,1,17222,6691,0,40.430597646355,-3.6706528684409
1,19,1,1656,6724,0,40.430885983714,-3.6706439436534
1,19,1,1641,6765,0,40.431255410378,-3.6706334665134
1,19,1,1615,6835,0,40.431886149115,-3.6706137958167
1,19,1,1576,6881,0,40.432309742387,-3.6705838143131
1,19,1,1544,6962,0,40.433039641812,-3.6705533383736
1,19,1,8082,7041,0,40.433751517502,-3.6705238618218
1,19,1,8083,7127,0,40.434509023104,-3.670393444607
1,19,1,8081,7134,0,40.434572198126,-3.6703740291626
1,19,1,8080,7144,0,40.434662350489,-3.6703631345797
1,19,1,1386,7259,0,40.435664080403,-3.6700630031514
1,19,1,1361,7315,0,40.436169158856,-3.6699630844358
1,19,1,1307,7518,0,40.437447973633,-3.6715934277204
1,19,1,1294,7558,0,40.43768010907,-3.6719541684271
1,19,1,1283,7605,0,40.437947879202,-3.672383651689
1,19,1,1271,7664,0,40.43830532672,-3.6728835968862
1,19,1,11196,7684,0,40.438457721235,-3.6730136340715
1,19,1,5734,7745,0,40.438951349459,-3.6733333685904
